,PC1,PC2,PC3,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
1561,4.405794814412473,-5.452890310809199,2.750920658434075,20,5,1,0,0,0,0,0,5,2,0,33,15,0,0,13,8,0,5,9,7,0,0,0,0,9,2,2,1,8,11,0,0,0,1,3,0,0,0,0,4,2
1562,-1.9791353647460619,-1.2785124253948323,-6.633787844698226,22,0,0,0,0,0,0,2,2,1,0,27,7,1,0,11,11,0,6,6,5,2,2,0,0,1,3,1,0,16,6,0,0,0,2,2,0,0,0,0,0,0
1563,53.29105863509113,-17.22479823885017,-2.288816019484011,49,0,0,0,0,0,0,0,8,8,0,65,16,8,0,24,24,0,12,24,16,4,4,0,0,12,4,0,1,24,24,0,0,0,0,8,0,0,0,0,0,0
1564,-5.617308759020396,5.4621503033216445,-7.995680722823163,21,0,0,0,0,0,0,0,2,0,0,23,5,0,0,13,8,0,2,1,1,0,0,0,1,3,1,0,0,11,7,1,0,0,0,4,0,0,0,0,4,3
1565,-24.68560573901066,0.29468382717302855,5.240452852970701,8,0,0,0,0,1,0,0,2,2,0,13,5,2,0,3,3,0,2,7,4,0,0,1,0,5,2,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0
1566,6.9973705824195065,-13.960316200174175,-1.8053767904983793,29,0,0,0,0,0,0,1,4,0,0,35,19,2,0,11,5,0,7,5,5,0,0,1,2,12,2,5,0,5,11,0,0,0,2,1,0,0,0,0,0,0
1567,-5.035575373455961,-9.9868824339557,6.942499456743616,18,0,0,0,0,2,0,0,0,7,0,27,12,4,0,6,6,0,10,14,7,0,0,0,0,6,7,0,2,8,4,0,0,0,0,2,0,0,0,0,0,0
1568,-17.621978073639113,-4.559135088368362,10.505608716229768,12,0,0,0,0,0,0,0,0,6,0,18,9,3,0,6,0,0,3,12,6,3,3,0,0,9,0,3,0,3,0,3,0,0,0,1,0,0,0,0,0,0
1569,-0.09567181214481492,-3.9808701587290405,6.812305262166095,21,0,0,0,0,1,0,0,1,6,0,29,10,5,0,13,3,0,5,13,7,0,0,0,0,8,3,2,1,9,4,2,0,0,1,1,1,0,0,0,3,2
1570,114.54806737272307,-33.89200243946753,29.215130772760148,74,0,0,0,0,0,0,7,0,10,14,105,42,8,0,66,3,0,17,55,31,7,7,0,0,24,10,9,0,33,15,14,0,7,7,1,0,0,0,0,7,0
